row,col,model,formula,mse,rmse,mae,r2
1,1,常数模型,y = 149.833333,2359.472222,48.574399,35.055556,0.000000
1,1,幂函数,y = 80.957145 × x^0.358539,6.596079,2.568283,2.155353,0.997204
1,1,对数函数,y = 45.598632 + 64.966728 × ln(x),2.262668,1.504217,1.228715,0.999041
1,1,指数函数,y = 113.956593 × e^(0.032692×x),79.602615,8.922030,7.053101,0.966263
1,1,3元多项式,y = 0.076521×x³ + -2.944122×x² + 34.752617×x + 38.052829,0.036901,0.192095,0.160183,0.999984
1,2,常数模型,y = 149.833333,2359.472222,48.574399,35.055556,0.000000
1,2,幂函数,y = 78.391142 × x^0.362439,5.967726,2.442893,2.052170,0.997471
1,2,对数函数,y = 39.890539 + 65.604462 × ln(x),2.787707,1.669643,1.381309,0.998819
1,2,指数函数,y = 113.604786 × e^(0.031094×x),78.034575,8.833718,6.983446,0.966927
1,2,3元多项式,y = 0.062463×x³ + -2.549216×x² + 32.264519×x + 38.121329,0.031615,0.177807,0.146641,0.999987
1,3,常数模型,y = 149.833333,2359.472222,48.574399,35.055556,0.000000
1,3,幂函数,y = 76.377261 × x^0.366603,5.477868,2.340485,1.969786,0.997678
1,3,对数函数,y = 35.291209 + 66.299483 × ln(x),3.271599,1.808756,1.503008,0.998613
1,3,指数函数,y = 113.231800 × e^(0.030189×x),76.556908,8.749680,6.918012,0.967553
1,3,3元多项式,y = 0.054438×x³ + -2.309105×x² + 30.682830×x + 37.832825,0.030834,0.175596,0.144408,0.999987
1,4,常数模型,y = 149.833333,2359.472222,48.574399,35.055556,0.000000
1,4,幂函数,y = 75.241095 × x^0.368840,5.196084,2.279492,1.921013,0.997798
1,4,对数函数,y = 32.649877 + 66.668360 × ln(x),3.584398,1.893251,1.575533,0.998481
1,4,指数函数,y = 113.030013 × e^(0.029644×x),75.734380,8.702550,6.882095,0.967902
1,4,3元多项式,y = 0.049723×x³ + -2.161390×x² + 29.656740×x + 37.977392,0.032449,0.180136,0.148802,0.999986
1,5,常数模型,y = 149.833333,2359.472222,48.574399,35.055556,0.000000
1,5,幂函数,y = 74.684116 × x^0.369552,4.979984,2.231588,1.882786,0.997889
1,5,对数函数,y = 31.362139 + 66.768677 × ln(x),3.843135,1.960392,1.633620,0.998371
1,5,指数函数,y = 112.962157 × e^(0.029266×x),75.319038,8.678654,6.865101,0.968078
1,5,3元多项式,y = 0.045818×x³ + -2.030448×x² + 28.678944×x + 39.011064,0.035468,0.188329,0.157188,0.999985
1,6,常数模型,y = 149.833333,2359.472222,48.574399,35.055556,0.000000
1,6,幂函数,y = 73.844475 × x^0.370789,4.680821,2.163521,1.826074,0.998016
1,6,对数函数,y = 29.399156 + 66.951583 × ln(x),4.223616,2.055144,1.720527,0.998210
1,6,指数函数,y = 112.846804 × e^(0.028745×x),74.714159,8.643735,6.840270,0.968334
1,6,3元多项式,y = 0.039690×x³ + -1.816923×x² + 27.053052×x + 40.967471,0.037495,0.193636,0.162842,0.999984
1,7,常数模型,y = 149.833333,2359.472222,48.574399,35.055556,0.000000
1,7,幂函数,y = 72.261650 × x^0.374873,4.084270,2.020958,1.705695,0.998269
1,7,对数函数,y = 25.663670 + 67.600633 × ln(x),5.095512,2.257324,1.902061,0.997840
1,7,指数函数,y = 112.473373 × e^(0.028266×x),73.087209,8.549106,6.770830,0.969024
1,7,3元多项式,y = 0.032602×x³ + -1.556953×x² + 24.976671×x + 43.175023,0.042951,0.207247,0.174353,0.999982
1,8,常数模型,y = 149.833333,2359.472222,48.574399,35.055556,0.000000
1,8,幂函数,y = 70.630668 × x^0.380228,3.462942,1.860898,1.571286,0.998532
1,8,对数函数,y = 21.758234 + 68.462327 × ln(x),6.195515,2.489079,2.105185,0.997374
1,8,指数函数,y = 111.985404 × e^(0.028076×x),71.127845,8.433733,6.685318,0.969854
1,8,3元多项式,y = 0.026190×x³ + -1.307565×x² + 22.893861×x + 45.769998,0.047168,0.217182,0.181754,0.999980
1,9,常数模型,y = 149.833333,2359.472222,48.574399,35.055556,0.000000
1,9,幂函数,y = 70.009923 × x^0.382100,3.085022,1.756423,1.498563,0.998692
1,9,对数函数,y = 20.317925 + 68.726502 × ln(x),7.037543,2.652837,2.246202,0.997017
1,9,指数函数,y = 111.807234 × e^(0.027956×x),70.173199,8.376944,6.645174,0.970259
1,9,3元多项式,y = 0.021789×x³ + -1.131279×x² + 21.351456×x + 48.604150,0.051598,0.227151,0.187970,0.999978
1,10,常数模型,y = 149.833333,2359.472222,48.574399,35.055556,0.000000
1,10,幂函数,y = 69.876270 × x^0.381052,2.906411,1.704820,1.468759,0.998768
1,10,对数函数,y = 20.060295 + 68.495898 × ln(x),7.578124,2.752839,2.327831,0.996788
1,10,指数函数,y = 111.890971 × e^(0.027537×x),70.088505,8.371888,6.645057,0.970295
1,10,3元多项式,y = 0.017987×x³ + -0.980581×x² + 19.992405×x + 51.450489,0.056755,0.238233,0.194602,0.999976
1,11,常数模型,y = 149.833333,2359.472222,48.574399,35.055556,0.000000
1,11,幂函数,y = 70.946635 × x^0.377329,3.091308,1.758211,1.517005,0.998690
1,11,对数函数,y = 22.733858 + 67.855583 × ln(x),7.294226,2.700782,2.274315,0.996909
1,11,指数函数,y = 112.223386 × e^(0.027618×x),71.162218,8.435770,6.695582,0.969840
1,11,3元多项式,y = 0.017353×x³ + -0.956625×x² + 19.855501×x + 52.968790,0.058156,0.241156,0.194260,0.999975
1,12,常数模型,y = 149.833333,2359.472222,48.574399,35.055556,0.000000
1,12,幂函数,y = 71.472864 × x^0.376568,3.073351,1.753098,1.516880,0.998697
1,12,对数函数,y = 24.077625 + 67.711255 × ln(x),7.409802,2.722095,2.288743,0.996860
1,12,指数函数,y = 112.288606 × e^(0.027953×x),71.282394,8.442890,6.702698,0.969789
1,12,3元多项式,y = 0.017111×x³ + -0.944999×x² + 19.807772×x + 53.861330,0.061501,0.247994,0.199093,0.999974
1,13,常数模型,y = 149.833333,2359.472222,48.574399,35.055556,0.000000
1,13,幂函数,y = 71.520588 × x^0.376575,3.071775,1.752648,1.519117,0.998698
1,13,对数函数,y = 24.205601 + 67.708474 × ln(x),7.483352,2.735572,2.294543,0.996828
1,13,指数函数,y = 112.287763 × e^(0.028005×x),71.280837,8.442798,6.703947,0.969789
1,13,3元多项式,y = 0.016346×x³ + -0.914629×x² + 19.572849×x + 54.449689,0.065271,0.255482,0.203735,0.999972
1,14,常数模型,y = 149.833333,2359.472222,48.574399,35.055556,0.000000
1,14,幂函数,y = 71.856670 × x^0.373773,3.119659,1.766256,1.532038,0.998678
1,14,对数函数,y = 25.045814 + 67.205924 × ln(x),7.528341,2.743782,2.294636,0.996809
1,14,指数函数,y = 112.532971 × e^(0.027573×x),71.928419,8.481062,6.733988,0.969515
1,14,3元多项式,y = 0.014100×x³ + -0.828150×x² + 18.822029×x + 56.284835,0.062603,0.250206,0.195171,0.999973
1,15,常数模型,y = 149.833333,2359.472222,48.574399,35.055556,0.000000
1,15,幂函数,y = 72.324373 × x^0.370808,3.263107,1.806407,1.566525,0.998617
1,15,对数函数,y = 26.170931 + 66.693167 × ln(x),7.335621,2.708435,2.259151,0.996891
1,15,指数函数,y = 112.795931 × e^(0.027227×x),72.772648,8.530689,6.772744,0.969157
1,15,3元多项式,y = 0.012883×x³ + -0.782624×x² + 18.447100×x + 57.409586,0.060653,0.246278,0.190187,0.999974
1,16,常数模型,y = 149.833333,2359.472222,48.574399,35.055556,0.000000
1,16,幂函数,y = 73.549466 × x^0.365890,3.696911,1.922735,1.658057,0.998433
1,16,对数函数,y = 29.046923 + 65.881000 × ln(x),6.523042,2.554025,2.120938,0.997235
1,16,指数函数,y = 113.238835 × e^(0.027088×x),74.494869,8.631041,6.847771,0.968427
1,16,3元多项式,y = 0.013352×x³ + -0.808708×x² + 18.796319×x + 57.697429,0.053278,0.230820,0.177380,0.999977
1,17,常数模型,y = 149.833333,2359.472222,48.574399,35.055556,0.000000
1,17,幂函数,y = 74.212973 × x^0.364064,3.938499,1.984565,1.702268,0.998331
1,17,对数函数,y = 30.574614 + 65.597119 × ln(x),5.973154,2.444004,2.035662,0.997468
1,17,指数函数,y = 113.406097 × e^(0.027239×x),75.253378,8.674871,6.878153,0.968106
1,17,3元多项式,y = 0.015517×x³ + -0.897934×x² + 19.611494×x + 56.632179,0.044082,0.209957,0.161325,0.999981
1,18,常数模型,y = 149.833333,2359.472222,48.574399,35.055556,0.000000
1,18,幂函数,y = 74.363446 × x^0.365585,3.940635,1.985103,1.694417,0.998330
1,18,对数函数,y = 30.917276 + 65.882823 × ln(x),5.753779,2.398704,2.015737,0.997561
1,18,指数函数,y = 113.275569 × e^(0.027819×x),74.939656,8.656769,6.860646,0.968239
1,18,3元多项式,y = 0.019378×x³ + -1.046190×x² + 20.858212×x + 54.432665,0.035907,0.189491,0.147588,0.999985
1,19,常数模型,y = 149.833333,2359.472222,48.574399,35.055556,0.000000
1,19,幂函数,y = 73.954549 × x^0.367191,4.039138,2.009761,1.701596,0.998288
1,19,对数函数,y = 29.873973 + 66.197391 × ln(x),5.398402,2.323446,1.966621,0.997712
1,19,指数函数,y = 113.140880 × e^(0.027851×x),74.748992,8.645750,6.847565,0.968320
1,19,3元多项式,y = 0.022540×x³ + -1.169492×x² + 21.840908×x + 51.839469,0.026858,0.163885,0.130576,0.999989
1,20,常数模型,y = 149.833333,2359.472222,48.574399,35.055556,0.000000
1,20,幂函数,y = 73.624128 × x^0.368781,4.125602,2.031158,1.702041,0.998251
1,20,对数函数,y = 29.021166 + 66.507291 × ln(x),5.064189,2.250375,1.915920,0.997854
1,20,指数函数,y = 113.005641 × e^(0.027958×x),74.486896,8.630579,6.831314,0.968431
1,20,3元多项式,y = 0.027934×x³ + -1.378311×x² + 23.491779×x + 47.980154,0.022251,0.149169,0.124344,0.999991
1,21,常数模型,y = 149.833333,2359.472222,48.574399,35.055556,0.000000
1,21,幂函数,y = 74.599238 × x^0.366140,4.656742,2.157949,1.810543,0.998026
1,21,对数函数,y = 31.237672 + 66.110793 × ln(x),4.227749,2.056149,1.746985,0.998208
1,21,指数函数,y = 113.250281 × e^(0.028198×x),75.707616,8.701012,6.881813,0.967913
1,21,3元多项式,y = 0.035003×x³ + -1.648353×x² + 25.665891×x + 44.609676,0.019716,0.140413,0.118264,0.999992
1,22,常数模型,y = 149.833333,2359.472222,48.574399,35.055556,0.000000
1,22,幂函数,y = 75.231685 × x^0.363674,5.112371,2.261055,1.895255,0.997833
1,22,对数函数,y = 32.641288 + 65.727292 × ln(x),3.627933,1.904713,1.617859,0.998462
1,22,指数函数,y = 113.476183 × e^(0.028131×x),76.777419,8.762272,6.925754,0.967460
1,22,3元多项式,y = 0.039438×x³ + -1.820983×x² + 27.026554×x + 42.439070,0.015558,0.124733,0.103183,0.999993
1,23,常数模型,y = 149.833333,2359.472222,48.574399,35.055556,0.000000
1,23,幂函数,y = 74.989214 × x^0.364360,5.031204,2.243035,1.879662,0.997868
1,23,对数函数,y = 32.077009 + 65.841624 × ln(x),3.705294,1.924914,1.638663,0.998430
1,23,指数函数,y = 113.413617 × e^(0.028082×x),76.481160,8.745351,6.910753,0.967585
1,23,3元多项式,y = 0.040812×x³ + -1.874892×x² + 27.421808×x + 41.322762,0.014123,0.118838,0.093592,0.999994
1,24,常数模型,y = 149.833333,2359.472222,48.574399,35.055556,0.000000
1,24,幂函数,y = 75.434456 × x^0.363336,5.268755,2.295377,1.923046,0.997767
1,24,对数函数,y = 33.087893 + 65.686824 × ln(x),3.429583,1.851913,1.572315,0.998546
1,24,指数函数,y = 113.508157 × e^(0.028240×x),76.965895,8.773021,6.930286,0.967380
1,24,3元多项式,y = 0.044273×x³ + -2.001757×x² + 28.394172×x + 39.970476,0.013200,0.114893,0.086132,0.999994
1,25,常数模型,y = 149.833333,2359.472222,48.574399,35.055556,0.000000
1,25,幂函数,y = 75.816887 × x^0.361844,5.532410,2.352108,1.969573,0.997655
1,25,对数函数,y = 33.940523 + 65.448715 × ln(x),3.154739,1.776159,1.500774,0.998663
1,25,指数函数,y = 113.642983 × e^(0.028198×x),77.551947,8.806358,6.954101,0.967132
1,25,3元多项式,y = 0.047771×x³ + -2.135551×x² + 29.401527×x + 38.366995,0.013406,0.115786,0.082321,0.999994
1,26,常数模型,y = 149.833333,2359.472222,48.574399,35.055556,0.000000
1,26,幂函数,y = 76.782467 × x^0.360316,5.887015,2.426317,2.032023,0.997505
1,26,对数函数,y = 36.152226 + 65.212580 × ln(x),2.826355,1.681177,1.405320,0.998802
1,26,指数函数,y = 113.782728 × e^(0.028743×x),78.241285,8.845410,6.982075,0.966839
1,26,3元多项式,y = 0.055328×x³ + -2.394330×x² + 31.264361×x + 36.331315,0.013740,0.117217,0.085023,0.999994
1,27,常数模型,y = 149.833333,2359.472222,48.574399,35.055556,0.000000
1,27,幂函数,y = 77.474058 × x^0.357155,6.480441,2.545671,2.128460,0.997253
1,27,对数函数,y = 37.649598 + 64.706090 × ln(x),2.306956,1.518867,1.261089,0.999022
1,27,指数函数,y = 114.069453 × e^(0.028515×x),79.600860,8.921931,7.039648,0.966263
1,27,3元多项式,y = 0.058086×x³ + -2.505793×x² + 32.107174×x + 35.323727,0.012419,0.111443,0.081427,0.999995
1,28,常数模型,y = 149.833333,2359.472222,48.574399,35.055556,0.000000
1,28,幂函数,y = 77.839393 × x^0.354915,6.954993,2.637232,2.202828,0.997052
1,28,对数函数,y = 38.408944 + 64.348838 × ln(x),1.957550,1.399125,1.149127,0.999170
1,28,指数函数,y = 114.272328 × e^(0.028222×x),80.584383,8.976880,7.080754,0.965846
1,28,3元多项式,y = 0.060291×x³ + -2.601665×x² + 32.844065×x + 34.060342,0.012558,0.112064,0.081418,0.999995
1,29,常数模型,y = 149.833333,2359.472222,48.574399,35.055556,0.000000
1,29,幂函数,y = 77.875077 × x^0.355867,7.008776,2.647409,2.208724,0.997030
1,29,对数函数,y = 38.481851 + 64.526777 × ln(x),1.921253,1.386093,1.139810,0.999186
1,29,指数函数,y = 114.192222 × e^(0.028537×x),80.450222,8.969405,7.074392,0.965903
1,29,3元多项式,y = 0.062275×x³ + -2.661215×x² + 33.282930×x + 33.438935,0.013216,0.114960,0.085038,0.999994
1,30,常数模型,y = 149.833333,2359.472222,48.574399,35.055556,0.000000
1,30,幂函数,y = 78.294703 × x^0.354426,7.290567,2.700105,2.250385,0.996910
1,30,对数函数,y = 39.402086 + 64.294001 × ln(x),1.720674,1.311745,1.077720,0.999271
1,30,指数函数,y = 114.322391 × e^(0.028537×x),81.074851,9.004157,7.100215,0.965639
1,30,3元多项式,y = 0.063727×x³ + -2.713440×x² + 33.651741×x + 33.270704,0.012082,0.109920,0.082820,0.999995
1,31,常数模型,y = 149.833333,2359.472222,48.574399,35.055556,0.000000
1,31,幂函数,y = 78.883795 × x^0.352216,7.867390,2.804887,2.334571,0.996666
1,31,对数函数,y = 40.659271 + 63.947238 × ln(x),1.380660,1.175015,0.951177,0.999415
1,31,指数函数,y = 114.523776 × e^(0.028475×x),82.143446,9.063302,7.144465,0.965186
1,31,3元多项式,y = 0.067579×x³ + -2.857487×x² + 34.696337×x + 31.937694,0.012750,0.112917,0.085801,0.999995
1,32,常数模型,y = 149.833333,2359.472222,48.574399,35.055556,0.000000
1,32,幂函数,y = 80.892888 × x^0.353665,8.165109,2.857465,2.377724,0.996539
1,32,对数函数,y = 45.178002 + 64.236492 × ln(x),1.241786,1.114354,0.885466,0.999474
1,32,指数函数,y = 114.406247 × e^(0.031031×x),82.146060,9.063446,7.143488,0.965185
1,32,3元多项式,y = 0.089583×x³ + -3.474042×x² + 38.502332×x + 29.866102,0.013933,0.118036,0.089502,0.999994
2,1,常数模型,y = 149.833333,2359.472222,48.574399,35.055556,0.000000
2,1,幂函数,y = 79.340802 × x^0.358651,6.420759,2.533922,2.127631,0.997279
2,1,对数函数,y = 41.978823 + 64.968380 × ln(x),2.403757,1.550405,1.270244,0.998981
2,1,指数函数,y = 113.942450 × e^(0.030943×x),79.370583,8.909017,7.043001,0.966361
2,1,3元多项式,y = 0.063985×x³ + -2.604805×x² + 32.629002×x + 38.576467,0.036353,0.190665,0.159252,0.999985
2,2,常数模型,y = 149.833333,2359.472222,48.574399,35.055556,0.000000
2,2,幂函数,y = 76.675286 × x^0.363108,5.834496,2.415470,2.031408,0.997527
2,2,对数函数,y = 35.914499 + 65.709797 × ln(x),2.916933,1.707903,1.412005,0.998764
2,2,指数函数,y = 113.543347 × e^(0.029454×x),77.721972,8.816007,6.969686,0.967060
2,2,3元多项式,y = 0.052752×x³ + -2.274900×x² + 30.459591×x + 38.110806,0.032221,0.179501,0.148562,0.999986
2,3,常数模型,y = 149.833333,2359.472222,48.574399,35.055556,0.000000
2,3,幂函数,y = 74.476261 × x^0.368097,5.245210,2.290242,1.928067,0.997777
2,3,对数函数,y = 30.790745 + 66.540264 × ln(x),3.528307,1.878379,1.564930,0.998505
2,3,指数函数,y = 113.095708 × e^(0.028618×x),75.944934,8.714639,6.891473,0.967813
2,3,3元多项式,y = 0.045236×x³ + -2.032372×x² + 28.753206×x + 38.014380,0.032366,0.179906,0.147497,0.999986
2,4,常数模型,y = 149.833333,2359.472222,48.574399,35.055556,0.000000
2,4,幂函数,y = 73.528907 × x^0.370089,4.956989,2.226430,1.878162,0.997899
2,4,对数函数,y = 28.551812 + 66.862499 × ln(x),3.869160,1.967018,1.639328,0.998360
2,4,指数函数,y = 112.914484 × e^(0.028210×x),75.155837,8.669247,6.856916,0.968147
2,4,3元多项式,y = 0.041737×x³ + -1.914154×x² + 27.864660×x + 38.347253,0.034188,0.184901,0.153179,0.999986
2,5,常数模型,y = 149.833333,2359.472222,48.574399,35.055556,0.000000
2,5,幂函数,y = 73.034588 × x^0.370821,4.769238,2.183858,1.844548,0.997979
2,5,对数函数,y = 27.383977 + 66.969295 × ln(x),4.105487,2.026200,1.690069,0.998260
2,5,指数函数,y = 112.845368 × e^(0.027911×x),74.760705,8.646427,6.840119,0.968315
